"event","experiment time","system time","system time text"
"START",0.000000000E0,1730313108.505,"2024-10-30 20:31:48.505 UTC+02:00"
"PAUSE",2.277133380E2,1730313336.219,"2024-10-30 20:35:36.219 UTC+02:00"
