"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.198921340E-1,-3.719999790E-1,-1.850000024E-2,1.099999994E-3
7.298921340E-1,-3.978999853E-1,-3.199999779E-2,-8.569999784E-2
7.398921340E-1,-4.059000015E-1,-6.749999523E-2,-1.700000018E-1
7.498921340E-1,-3.968999982E-1,-3.590000048E-2,-1.834999919E-1
7.598921340E-1,-3.895999789E-1,4.309999943E-2,-2.443999946E-1
7.698921340E-1,-4.116999805E-1,7.259999961E-2,-3.633999825E-1
7.798921340E-1,-4.921000004E-1,8.259999752E-2,-4.433999956E-1
7.898921340E-1,-5.526999831E-1,6.430000067E-2,-4.264999926E-1
7.998921340E-1,-5.548999906E-1,5.719999969E-2,-3.716000021E-1
8.098921340E-1,-5.277000070E-1,8.069999516E-2,-2.395000011E-1
8.198921340E-1,-5.673999786E-1,1.344999969E-1,-1.378999949E-1
8.298921340E-1,-6.328999996E-1,1.400000006E-1,-1.356000006E-1
8.398921340E-1,-7.335000038E-1,1.162999943E-1,-2.421999872E-1
8.498921340E-1,-8.694999814E-1,1.322000027E-1,-3.495999873E-1
8.598921340E-1,-9.641999602E-1,1.884000003E-1,-3.896999955E-1
8.698921340E-1,-1.038100004E0,2.460999936E-1,-3.430999815E-1
8.798921340E-1,-1.033200026E0,2.556000054E-1,-1.893000007E-1
8.898921340E-1,-1.018599987E0,2.256999910E-1,-5.499999970E-2
8.998921340E-1,-1.071699977E0,1.852999926E-1,1.139999926E-2
9.098921340E-1,-1.104099989E0,1.632999927E-1,3.979999945E-2
9.198921340E-1,-1.096599936E0,1.884000003E-1,3.079999983E-2
9.298921340E-1,-1.079299927E0,1.825999916E-1,3.319999948E-2
9.398921340E-1,-9.842000008E-1,1.944999993E-1,-3.089999966E-2
9.498921340E-1,-9.286999702E-1,1.753000021E-1,-5.409999937E-2
9.598921340E-1,-8.931999803E-1,1.358999908E-1,-7.660000026E-2
9.698921340E-1,-7.983999848E-1,9.679999948E-2,-1.777999997E-1
9.798921340E-1,-6.933000088E-1,3.959999979E-2,-1.921999902E-1
9.898921340E-1,-6.371999979E-1,-1.480000000E-2,-1.108999997E-1
9.998921340E-1,-5.613999963E-1,-6.669999659E-2,3.639999777E-2
1.009892134E0,-4.554999769E-1,-3.810000047E-2,1.525999904E-1
1.019892134E0,-3.088999987E-1,-8.200000040E-3,1.596999913E-1
1.029892134E0,-1.510999948E-1,1.899999916E-3,6.870000064E-2
1.039892134E0,-7.069999725E-2,-1.759999990E-2,-1.000999957E-1
1.049892134E0,-2.969999984E-2,-3.769999743E-2,-1.800999939E-1
1.059892134E0,2.779999934E-2,-4.839999974E-2,-2.298999876E-1
1.069892134E0,1.785999984E-1,-7.959999889E-2,-2.097999901E-1
1.079892134E0,3.716999888E-1,-1.119999960E-1,-7.019999623E-2
1.089892134E0,5.389999747E-1,-2.052999884E-1,1.891999990E-1
1.099892134E0,5.852000117E-1,-3.498999774E-1,3.923999965E-1
1.109892134E0,5.722000003E-1,-4.578999877E-1,4.998999834E-1
1.119892134E0,5.511000156E-1,-5.194999576E-1,4.822999835E-1
1.129892134E0,5.331000090E-1,-5.737999678E-1,2.314999998E-1
1.139893696E0,4.296999872E-1,-6.103000045E-1,-3.720000014E-2
1.149892134E0,3.366000056E-1,-5.978999734E-1,-2.960999906E-1
1.159892134E0,3.001999855E-1,-5.945000052E-1,-5.654000044E-1
1.169892134E0,3.281999826E-1,-6.087999940E-1,-7.380999923E-1
1.179892134E0,4.181999862E-1,-6.499999762E-1,-7.658999562E-1
1.189892134E0,4.610999823E-1,-6.484999657E-1,-6.197999716E-1
1.199892134E0,4.285999835E-1,-6.046999693E-1,-3.683999777E-1
1.209892134E0,3.225999773E-1,-5.677999854E-1,-1.389999986E-1
1.219892134E0,3.222000003E-1,-5.187999606E-1,-9.779999405E-2
1.229892134E0,3.400999904E-1,-4.285999835E-1,-1.563999951E-1
1.239893696E0,3.466999829E-1,-3.455999792E-1,-2.172999978E-1
1.249892134E0,3.604999781E-1,-2.890000045E-1,-9.429999441E-2
1.259893696E0,3.907999992E-1,-1.801999956E-1,9.479999542E-2
1.269892134E0,4.231999815E-1,-9.429999441E-2,3.375999928E-1
1.279892134E0,4.657000005E-1,-1.630000025E-2,5.381000042E-1
1.289892134E0,5.221999884E-1,1.140999943E-1,6.674999595E-1
1.299892134E0,5.888999701E-1,2.421999872E-1,6.814999580E-1
1.309892134E0,6.753999591E-1,3.471999764E-1,6.401000023E-1
1.319892134E0,7.324000001E-1,4.180999994E-1,5.539999604E-1
1.329892134E0,8.287000060E-1,5.331000090E-1,4.527999759E-1
1.339892134E0,9.257999659E-1,6.139999628E-1,3.459999859E-1
1.349892134E0,1.005900025E0,6.516000032E-1,1.740999967E-1
1.359892134E0,1.021899939E0,6.469999552E-1,-4.449999705E-2
1.369892134E0,9.162999988E-1,5.819000006E-1,-2.917999923E-1
1.379892134E0,7.373999953E-1,4.962999821E-1,-4.897999763E-1
1.389892134E0,5.629999638E-1,3.418000042E-1,-6.783999801E-1
1.399892134E0,4.217999876E-1,2.070999891E-1,-8.675000072E-1
1.409892134E0,3.222000003E-1,1.119999960E-1,-1.037699938E0
1.419892134E0,2.434999943E-1,3.759999946E-2,-1.218799949E0
1.429892134E0,1.842999905E-1,-2.579999901E-2,-1.361599922E0
1.439892134E0,1.140000001E-1,-4.839999974E-2,-1.417599916E0
1.449892134E0,8.129999787E-2,-1.077999994E-1,-1.416599989E0
1.459892134E0,7.699999958E-3,-1.740999967E-1,-1.261199951E0
1.469892134E0,-5.680000037E-2,-1.878999919E-1,-1.138299942E0
1.479892134E0,-9.169999510E-2,-2.375999987E-1,-1.116400003E0
1.489892134E0,-1.656999886E-1,-2.356999964E-1,-1.008599997E0
1.499892134E0,-2.415999919E-1,-2.903999984E-1,-7.847999930E-1
1.509892134E0,-2.123999894E-1,-2.660000026E-1,-6.004999876E-1
1.519892134E0,-1.271999925E-1,-1.737999916E-1,-4.737999737E-1
1.529892134E0,-4.360000044E-2,-2.469999902E-2,-4.235000014E-1
1.539892134E0,7.849999517E-2,1.217999980E-1,-4.296999872E-1
1.549892134E0,2.212999910E-1,2.461999953E-1,-5.220000148E-1
